"CODI_ESTACIO";"NOM_ESTACIO";"CODI_TIPUS";"LATITUD";"LONGITUD";"Georeferència";"EMPLACAMENT";"ALTITUD";"CODI_MUNICIPI";"NOM_MUNICIPI";"CODI_COMARCA";"NOM_COMARCA";"CODI_PROVINCIA";"NOM_PROVINCIA";"CODI_XARXA";"NOM_XARXA";"CODI_ESTAT";"NOM_ESTAT";"DATA_ALTA";"DATA_BAIXA"
"WJ";"el Masroig";"A";"41,1223";"0,72182";"POINT (0.72182 41.1223)";"Finca Terranova";"143";"430825";"El Masroig";"29";"Priorat";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"20/06/2000";
"V9";"Miralcamp";"A";"41,61333";"0,87608";"POINT (0.87608 41.61333)";"Partida la Boletera";"256";"251351";"Miralcamp";"27";"Pla d'Urgell";"25";"Lleida";"1";"XEMA";"1";"Desmantellada";"26/09/1997";"01/02/2010"
"U1";"Cabanes - Mas de la Rajoleria";"A";"42,30648";"2,95481";"POINT (2.95481 42.30648)";"Mas St. Feliu, S.A., camí de St. Feli, s/n";"31";"170307";"Cabanes";"2";"Alt Empordà";"17";"Girona";"1";"XEMA";"1";"Desmantellada";"11/06/1991";"10/05/2024"
"CK";"Santa Coloma de Farners";"A";"41,86472";"2,66451";"POINT (2.66451 41.86472)";"Dipòsit d'aigua";"163";"171805";"Santa Coloma de Farners";"34";"Selva";"17";"Girona";"1";"XEMA";"1";"Desmantellada";"05/02/1996";"08/06/2004"
"CL";"Sant Salvador de Guardiola";"A";"41,67403";"1,76797";"POINT (1.76797 41.67403)";"Urbanització Miralda";"347";"80983";"Sant Salvador de Guardiola";"7";"Bages";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"02/02/1996";
"WS";"Viladrau";"A";"41,84008";"2,41877";"POINT (2.41877 41.84008)";"Mas Vilarmau";"956";"172207";"Viladrau";"24";"Osona";"17";"Girona";"1";"XEMA";"2";"Operativa";"17/03/2005";
"CA";"Clariana de Cardener";"A";"41,95378";"1,5851";"POINT (1.5851 41.95378)";"Abocador comarcal";"693";"250753";"Clariana de Cardener";"35";"Solsonès";"25";"Lleida";"1";"XEMA";"1";"Desmantellada";"02/05/1996";"10/07/2012"
"YS";"Cabanes";"A";"42,32038";"2,956401";"POINT (2.956401 42.32038)";"Futura deixalleria";"35";"170307";"Cabanes";"2";"Alt Empordà";"17";"Girona";"1";"XEMA";"2";"Operativa";"13/05/2024";
"CP";"Sant Romà d'Abella";"A";"42,13922";"1,03894";"POINT (1.03894 42.13922)";"Sant Romà d'Abella - el Tossal";"689";"251155";"Isona i Conca Dellà";"25";"Pallars Jussà";"25";"Lleida";"1";"XEMA";"2";"Operativa";"20/05/1996";
"CR";"la Quar";"A";"42,08032";"1,96244";"POINT (1.96244 42.08032)";"Sant Maurici";"872";"81770";"La Quar";"14";"Berguedà";"8";"Barcelona";"1";"XEMA";"2";"Operativa";"13/03/1996";
"WB";"Albesa";"A";"41,76034";"0,67022";"POINT (0.67022 41.76034)";"Partida l'Eral, camí del Torricó";"268";"250083";"Albesa";"23";"Noguera";"25";"Lleida";"1";"XEMA";"2";"Operativa";"21/06/1999";
"XR";"Prades";"A";"41,31481";"0,98161";"POINT (0.98161 41.31481)";"La Comanda";"927";"431166";"Prades";"8";"Baix Camp";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"31/01/2013";
"VP";"Pinós";"A";"41,80483";"1,53853";"POINT (1.53853 41.80483)";"Masia Can Caselles";"660";"251673";"Pinós";"35";"Solsonès";"25";"Lleida";"1";"XEMA";"2";"Operativa";"03/07/1995";
"YX";"Batea";"A";"41,08318";"0,31694";"POINT (0.31694 41.08318)";"Turó estació transferència";"403";"430228";"Batea";"37";"Terra Alta";"43";"Tarragona";"1";"XEMA";"2";"Operativa";"31/07/2025";
"V6";"Viladrau - Aigües de Viladrau";"A";"41,84256";"2,42636";"POINT (2.42636 41.84256)";"Camí vell de Viladrau, s/n";"871";"170097";"Arbúcies";"34";"Selva";"17";"Girona";"1";"XEMA";"1";"Desmantellada";"03/10/1995";"29/03/2005"
